node_id,name,original_name,former_name,jurisdiction,jurisdiction_description,company_type,address,internal_id,incorporation_date,inactivation_date,struck_off_date,dorm_date,status,service_provider,ibcRUC,country_codes,countries,sourceID,valid_until,note
10018642,VENUS HOLDING CORPORATION,VENUS HOLDING CORPORATION,,SEY,Seychelles,,VARDHMAN REAL ESTATE,203089,20-MAY-2005,04-JAN-2010,31-DEC-2009,,Defaulted,Mossack Fonseca,020715,IND,India,Panama Papers,The Panama Papers data is current through 2015,
10020419,LYNX HOLDINGS INC.,LYNX HOLDINGS INC.,,SEY,Seychelles,,VARDHMAN REAL ESTATE,202746,05-APR-2005,04-JAN-2010,31-DEC-2009,,Defaulted,Mossack Fonseca,019806,IND,India,Panama Papers,The Panama Papers data is current through 2015,
10022631,MIDLAND INTERNATIONAL INVESTMENTS LTD.,MIDLAND INTERNATIONAL INVESTMENTS LTD.,,SEY,Seychelles,,VARDHMAN REAL ESTATE,207107,20-FEB-2007,11-JAN-2011,31-DEC-2010,,Defaulted,Mossack Fonseca,034972,IND,India,Panama Papers,The Panama Papers data is current through 2015,
10022975,Millenium Group Investments Ltd.,Millenium Group Investments Ltd.,,SEY,Seychelles,,VARDHMAN REAL ESTATE,208890,11-FEB-2008,04-JAN-2010,31-DEC-2009,,Defaulted,Mossack Fonseca,045322,IND,India,Panama Papers,The Panama Papers data is current through 2015,
10023197,HANSAN CORP.,HANSAN CORP.,,SEY,Seychelles,,THE JAGRAN FOUNDATION 28 JALDARSHAN 51- JAGMOHANDAS MARG. BOMBAY (MUMBAI) INDIA *S.I.*,209982,05-NOV-2008,,,,Active,Mossack Fonseca,055846,IND,India,Panama Papers,The Panama Papers data is current through 2015,
10026882,SUZANNE CORP.,SUZANNE CORP.,,SEY,Seychelles,,THE JAGRAN FOUNDATION 28 JALDARSHAN 51- JAGMOHANDAS MARG. BOMBAY (MUMBAI) INDIA *S.I.*,209912,05-NOV-2008,,,,Active,Mossack Fonseca,055847,IND,India,Panama Papers,The Panama Papers data is current through 2015,
10041462,MASTER WORLD GROUP HOLDINGS LTD.,MASTER WORLD GROUP HOLDINGS LTD.,,NIUE,Niue,,"MASTER WORLD GROUP HOLDINGS LTD. (NIUE) 9200/4 MULTANI DHANDA PAHARQANJ NEW DELHI 110055, INDIA",304689,23-AUG-1999,30-APR-2004,23-APR-2004,,Defaulted,Mossack Fonseca,004779,IND,India,Panama Papers,The Panama Papers data is current through 2015,
10125427,Golden Shine International Associates Ltd.,Golden Shine International Associates Ltd.,,BVI,British Virgin Islands,,VARDHMAN REAL ESTATE,584056,29-JAN-2007,,31-OCT-2011,,Defaulted,Mossack Fonseca,,IND,India,Panama Papers,The Panama Papers data is current through 2015,
10121785,ORIENT PEARL INVESTMENT INC.,ORIENT PEARL INVESTMENT INC.,,BVI,British Virgin Islands,,VARDHMAN REAL ESTATE,585439,20-MAR-2007,02-NOV-2009,31-OCT-2009,,Defaulted,Mossack Fonseca,,IND,India,Panama Papers,The Panama Papers data is current through 2015,
10123056,ZACS Holdings Limited,ZACS Holdings Limited,,BVI,British Virgin Islands,,VARDHMAN REAL ESTATE,585030,06-MAR-2007,02-NOV-2009,31-OCT-2009,,Defaulted,Mossack Fonseca,,IND,India,Panama Papers,The Panama Papers data is current through 2015,
10123659,Y Cube Holdings Ltd.,Y Cube Holdings Ltd. [LIFECYCLE HOLDINGS LTD.],LIFECYCLE HOLDINGS LTD.,BVI,British Virgin Islands,,C-148 SARVODAYA ENCLAVE; NEW DELHI-17; INDIA,574614,06-DEC-2005,,,,Active,Mossack Fonseca,687779,IND,India,Panama Papers,The Panama Papers data is current through 2015,
10127295,GULF SHORE HOLDINGS INC.,GULF SHORE HOLDINGS INC.,,BVI,British Virgin Islands,,VARDHMAN REAL ESTATE,587414,05-JUN-2007,25-APR-2012,31-OCT-2012,,Defaulted,Mossack Fonseca,,IND,India,Panama Papers,The Panama Papers data is current through 2015,
10128302,Infinity (B.V.I) Group Ltd.,Infinity (B.V.I) Group Ltd.,,BVI,British Virgin Islands,,P.P. SHAH & ASSOCIATES CHARTERED ACCOUNTANTS 302; K K SQUARE; ABOVE SKODA SHOWROOM; 470; CARDINAL GRACIOUS ROAD; CHAKALA; ANDHERI (E) MUMBAI - 400 099 INDIA,593104,25-FEB-2008,,31-OCT-2012,,Inactivated,Mossack Fonseca,,IND,India,Panama Papers,The Panama Papers data is current through 2015,
10132716,LEVERAGE INVESTMENTS PROPERTIES INC.,LEVERAGE INVESTMENTS PROPERTIES INC.,,BVI,British Virgin Islands,,VARDHMAN REAL ESTATE,591742,17-DEC-2007,24-NOV-2010,30-APR-2011,,Defaulted,Mossack Fonseca,,IND,India,Panama Papers,The Panama Papers data is current through 2015,
10132809,Goldstone Media Private Limited,Goldstone Media Private Limited,,BVI,British Virgin Islands,,P.P. SHAH & ASSOCIATES CHARTERED ACCOUNTANTS 302; K K SQUARE; ABOVE SKODA SHOWROOM; 470; CARDINAL GRACIOUS ROAD; CHAKALA; ANDHERI (E) MUMBAI - 400 099 INDIA,593930,25-FEB-2008,12-AUG-2010,31-OCT-2010,,Defaulted,Mossack Fonseca,,IND,India,Panama Papers,The Panama Papers data is current through 2015,
10159753,Whitefield Global Investments Ltd.,Whitefield Global Investments Ltd.,,BVI,British Virgin Islands,,P. P. SHAH & ASSOCIATES 302; KK SQUARE 470; CARDINAL GRACIOUS ROAD CHAKALA; ANDHERI (E) MUMBAI - 400 099 INDIA,6045926,30-SEP-2015,,,,Active,Mossack Fonseca,,IND,India,Panama Papers,The Panama Papers data is current through 2015,
10166418,FAMILY AND CHILDREN CHARITABLE FOUNDATION,FAMILY AND CHILDREN CHARITABLE FOUNDATION,,PMA,Panama,,402 LAKEVIEW 2 ROYAL PALMS AAREY MILK COLONY GOREGAON EAST MUMBAI - 400065 INDIA,703809,05-OCT-2010,,,,Active,Mossack Fonseca,,IND,India,Panama Papers,The Panama Papers data is current through 2015,
10168591,THE JAGRAN FOUNDATION,THE JAGRAN FOUNDATION,,PMA,Panama,,THE JAGRAN FOUNDATION 28 JALDARSHAN 51- JAGMOHANDAS MARG. BOMBAY (MUMBAI) INDIA *S.I.*,705281,01-SEP-2014,,,,Active,Mossack Fonseca,33,IND,India,Panama Papers,The Panama Papers data is current through 2015,
10196403,RAZTRON LIMITED,RAZTRON LIMITED,,BVI,British Virgin Islands,,ROJ ENTERPRISES (P) LTD. A 8; SAKET; 45/1+2/A; KARVENAGAR OFF PATWARDHAN BAUGH PUNE 411 052 INDIA,512298,19-OCT-1994,02-MAY-2008,30-APR-2008,,Defaulted,Mossack Fonseca,131037,IND,India,Panama Papers,The Panama Papers data is current through 2015,
10203886,"Action Slate Films, Ltd.","Action Slate Films, Ltd.",,BVI,British Virgin Islands,,P.P. SHAH & ASSOCIATES CHARTERED ACCOUNTANTS 302; K K SQUARE; ABOVE SKODA SHOWROOM; 470; CARDINAL GRACIOUS ROAD; CHAKALA; ANDHERI (E) MUMBAI - 400 099 INDIA,594404,05-MAR-2008,12-AUG-2010,31-OCT-2010,,Defaulted,Mossack Fonseca,,IND,India,Panama Papers,The Panama Papers data is current through 2015,
